latitude,longitude
49.691998,-112.893388
49.102425,-122.64456
49.265947,-122.775313
49.261118,-123.115639
50.983623,-114.041234
43.405495,-79.808096
53.017984,-112.859116
49.164982,-121.958765
48.433478,-89.224911
48.451478,-89.253763
48.381748,-89.279421
49.263832,-122.766814
49.076208,-122.668946
51.081049,-113.984241
44.614622,-75.683841
51.101777,-114.072602
53.277536,-110.056737
43.374232,-80.318182
43.844416,-79.560074
43.705541,-79.39786
43.71068,-79.360969
49.858348,-97.263822
49.31678,-122.969128
49.318603,-124.300724
53.525349,-113.61627
48.64813,-123.402421
45.457404,-75.497574
45.275131,-75.718766
51.126903,-114.072233
53.454904,-113.510313
54.823265,-127.190362
53.511379,-113.675787
48.446958,-123.372311
49.829017,-97.108905
49.12474,-122.70286
43.639815,-79.419596
53.47397,-113.492763
43.871878,-78.908225
49.882128,-97.114939
43.407285,-80.500347
49.191262,-123.129371
49.277288,-123.118683
51.042766,-114.071115
43.540361,-79.871586
48.429244,-123.366537
50.391679,-105.537491
52.1142,-106.600857
45.132047,-76.119243
49.287841,-123.123753
43.198042,-80.015974
50.971859,-114.07092
45.418832,-75.702563
43.866332,-79.229085
43.39798,-79.747127
43.844945,-79.470594
49.898363,-97.066991
43.497612,-79.707513
51.128589,-114.008785
49.224812,-123.106931
43.896298,-79.40395
49.198721,-122.976895
49.268231,-123.170872
50.26426,-119.279097
51.084287,-114.156806
50.952701,-114.062223
43.772212,-79.321125
49.677786,-112.80197
43.91276,-79.447289
51.05133,-114.050717
43.130384,-80.285946
45.42109,-75.649234
50.904633,-114.057499
49.871984,-119.474837
51.050826,-114.070955
48.786181,-123.707073
49.847002,-97.15252
43.816819,-79.452133
49.792601,-97.156645
48.449034,-123.498915
49.811885,-97.154726
55.169444,-118.768601
49.057054,-122.460638
49.228609,-122.892944
43.527264,-79.866158
51.123387,-113.945691
43.68088,-79.284976
43.914795,-78.958893
51.050888,-114.066715
49.227217,-122.995201
49.119967,-122.892129
43.645978,-79.379993
43.770374,-79.186485
43.014683,-81.212119
43.626353,-79.680198
43.5489,-79.663975
53.468521,-113.58845
53.57128,-113.506603
42.285994,-83.056811
49.220526,-122.557314
48.468968,-123.33023
45.419429,-75.697326
49.32426,-123.072532
45.421714,-75.698479
43.01884,-81.310167
49.266378,-124.78571
48.42549,-123.359594
49.313437,-123.077333
42.937152,-81.281573
49.841808,-124.51775
49.781533,-92.838841
49.191102,-122.947038
43.757999,-79.409775
49.183317,-123.954633
44.28154,-78.345741
50.445625,-104.552666
51.148346,-115.555891
51.042402,-114.080418
49.495793,-119.615237
49.256714,-123.007351
51.014845,-114.167372
53.409142,-117.586372
49.10461,-122.802198
50.572154,-111.901726
52.289025,-113.838517
43.195545,-79.810626
50.932441,-113.970461
53.513206,-113.324426
53.45431,-113.429866
43.768289,-79.412951
52.26345,-113.814083
51.045384,-114.068173
43.37332,-79.761117
49.841785,-124.518828
43.768926,-79.363267
53.540799,-113.527027
43.327628,-79.800447
50.482588,-104.617893
48.610025,-93.392083
53.185638,-105.762736
43.507059,-79.83773
50.663847,-120.355336
43.462763,-80.521866
43.660675,-79.34238
49.335864,-123.072211
43.779884,-79.41622
43.401178,-80.325269
53.616139,-113.432408
49.264261,-123.114437
49.192773,-123.954231
43.788607,-79.625929
43.651335,-79.374691
43.664938,-79.368404
51.04131,-114.210449
49.162497,-122.888936
45.345506,-80.006673
46.513411,-84.291435
45.497878,-73.703431
50.96606,-114.074125
49.525166,-115.753993
51.048155,-114.067475
42.992317,-81.264866
55.14206,-118.800464
49.26434,-122.981571
49.296142,-122.803475
45.413151,-75.646894
50.933868,-113.962466
43.655515,-79.385423
43.862194,-79.485136
51.040629,-114.065571
51.12148,-114.007742
49.194992,-123.178556
51.041908,-114.036968
50.953087,-114.064682
53.600637,-113.489999
51.205049,-113.994299
49.948001,-119.426768
49.893652,-97.142553
53.520903,-113.59201
52.130168,-106.631004
49.170864,-123.141972
51.116429,-114.068898
49.332673,-123.09039
43.318477,-79.911628
53.616363,-113.541779
53.423703,-113.514164
49.29162,-123.135329
45.302712,-66.022951
46.095695,-64.760119
44.649291,-63.575737
53.546359,-113.488726
51.085256,-114.124312
43.65643,-79.380453
44.056431,-79.430061
60.719427,-135.052371
49.2109,-123.130456
49.286389,-123.120871
49.176901,-122.866662
51.163427,-114.127284
43.256156,-79.885456
51.059843,-114.21134
43.816306,-79.293317
44.012692,-79.413074
50.696966,-120.357718
49.27953,-122.96722
53.54639,-113.48876
53.494231,-113.668347
43.867009,-79.228684
44.263475,-76.498008
43.646235,-79.39206
45.383376,-75.697599
49.374281,-123.274119
49.867744,-97.252428
51.289472,-114.0139
49.222474,-122.913955
49.867689,-97.213317
50.124103,-120.762885
51.269425,-114.003279
48.454545,-123.394659
51.039746,-114.094457
49.164478,-122.664825
53.445159,-113.491028
51.014259,-114.140799
49.19863,-122.779591
43.655491,-79.385558
43.726914,-79.293247
43.829296,-79.536886
49.938224,-97.19698
43.937794,-78.85876
43.662413,-79.395322
43.499646,-80.190416
43.849784,-79.355144
43.467743,-80.568601
49.258629,-123.030598
42.311861,-82.946223
55.744289,-97.84668
45.458397,-73.747501
45.423249,-75.687647
49.762556,-94.488147
