,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
37,19948,27157,22117,21772,20526,20752,24192,22486,21285,21172,27965,22306,21698,22261,21090,15176,14787,21769,22678,23390,34256,32787,15884,22493,21403,19400,20724,21833,22675,22010,23351,22256,22682,20606,21366,39941,11863,0,22595,30957,16388,11600,23190,21896,22487,10754,23248,25053,21860
38,25130,2163,3629,2435,3922,3101,2872,810,7777,2745,5004,3091,1991,3364,7582,9592,8816,2598,1686,1261,18143,12467,7067,3770,2450,8226,2731,4010,1542,2795,1186,1967,3857,3667,11777,19973,13719,22595,0,8855,9848,13208,1749,3072,8132,13176,10772,2918,2122
39,28742,7671,12867,11165,11236,10217,8021,9540,14272,11475,6050,10386,10721,9701,14077,17954,19102,10210,10416,8174,10167,3158,21020,10107,11180,14721,11461,11025,9050,9916,8160,9475,9638,12396,15382,13626,22081,30957,8855,0,15417,20248,6981,9146,13447,20952,16341,12424,9491
40,26005,12014,6005,7284,10157,12068,9304,9527,3178,6692,14471,8206,8496,7521,2839,3385,7349,8567,7291,8902,24721,19790,6451,7927,7299,2901,6669,6609,8258,7736,9290,8166,7458,6606,12473,27297,6216,16388,9848,15417,0,6659,11738,7334,15258,7363,7115,13875,7139
41,19146,13212,9964,10521,11526,12619,13833,12127,10926,8077,19302,11947,10658,11902,8297,3454,7720,11410,10528,13031,28613,22196,3441,12134,10536,9040,8013,11474,11635,10970,12311,11897,12323,7495,11969,32128,2724,11600,13208,20248,6659,0,13438,12144,19776,1681,13496,15301,12108
42,24542,566,4988,3686,4131,3112,1759,2061,9350,3996,4569,4357,3149,3672,9155,10187,8827,3105,2937,1810,16377,11354,8992,4078,3701,9799,3982,4318,1944,3887,1054,2369,4169,4918,8276,18860,14314,23190,1749,6981,11738,13438,0,2541,10441,14150,10241,3846,3082
43,26822,2948,3911,4376,5863,7653,2528,2751,4946,4686,5529,1430,2539,745,4751,8893,11241,2610,3627,2126,19835,13519,8246,1151,4391,5395,4672,1391,2086,960,2514,1994,682,5608,13469,21025,13020,21896,3072,9146,7334,12144,2541,0,12631,15155,8293,7147,4674
44,18395,9380,12662,8371,8539,6701,11701,9002,14710,8703,10188,11478,8971,11220,14515,13977,11171,9577,8666,10026,10624,12154,11371,11452,8002,15159,8666,11866,9665,11181,10378,9879,13318,10537,6451,19295,20652,22487,8132,13447,15258,19776,10441,12631,0,17637,17963,6843,8853
45,19225,14558,9932,10489,13926,14152,14537,12831,11630,9221,20006,12651,12043,12606,11435,5520,7688,12114,10496,13735,27656,25325,4586,12838,12498,9744,9157,12178,13020,12355,13696,12601,13027,8639,14766,32832,1956,10754,13176,20952,7363,1681,14150,15155,17637,0,15127,16932,13739
46,33564,12938,8488,9898,10527,14395,10228,10451,4735,9325,15395,9130,8882,8445,4540,10245,13810,8953,11327,9826,25645,20714,13311,8851,9913,5184,9306,7533,9182,8660,10214,9090,8382,10243,19912,28221,12844,23248,10772,16341,7115,13496,10241,8293,17963,15127,0,13415,10223
47,22444,4253,4583,3896,2751,953,4962,4526,10235,3397,9165,7002,4495,6744,10040,12050,7449,5101,4190,4035,15457,13987,8798,6976,3527,10684,2949,7390,5189,6705,3961,5403,7237,3886,5271,21142,16177,25053,2918,12424,13875,15301,3846,7147,6843,16932,13415,0,3933
48,24454,3490,2236,1297,2784,3647,3468,1289,7042,1607,6469,3192,988,3774,6847,8857,7933,1863,547,2667,17467,13864,5929,4180,1312,7491,1592,4420,1952,2896,2628,2165,4267,2529,11101,21370,12984,21860,2122,9491,7139,12108,3082,4674,8853,13739,10223,3933,0
